iter	RMSE
0	59661.65459
1	56701.15051
2	53923.72149
3	51303.52773
4	48755.06965
5	46269.56931
6	44001.92058
7	41837.75313
8	39904.27122
9	38004.00699
10	36122.51728
11	34423.06905
12	32852.77473
13	31273.05976
14	29805.19762
15	28390.41448
16	27049.20259
17	25806.02186
18	24646.97323
19	23548.2893
20	22510.76333
21	21520.17064
22	20681.8223
23	19791.51036
24	18914.77256
25	18123.31877
26	17379.19368
27	16624.48292
28	15952.67561
29	15326.03937
30	14767.35382
31	14188.89799
32	13656.27624
33	13141.07331
34	12645.31519
35	12232.89464
36	11785.47336
37	11390.4977
38	11021.16333
39	10664.83149
40	10326.215
41	10051.31824
42	9781.80287
43	9506.057815
44	9231.176634
45	8990.657243
46	8740.990374
47	8459.192972
48	8270.316397
49	8087.422066
50	7891.322921
51	7688.028576
52	7494.738901
53	7275.497509
54	7108.63972
55	6975.690004
56	6776.065622
57	6640.001274
58	6517.032973
59	6350.532223
60	6179.294586
61	6062.851567
62	5924.029984
63	5820.368664
64	5704.485973
65	5622.993379
66	5554.0373
67	5420.622722
68	5357.574524
69	5286.483067
70	5183.154405
71	5076.734354
72	4963.668425
73	4894.936634
74	4823.153292
75	4777.647379
76	4689.073812
77	4647.591903
78	4612.225195
79	4575.110318
80	4489.540924
81	4412.46399
82	4340.558584
83	4267.252
84	4193.438652
85	4127.668894
86	4095.39749
87	4023.357584
88	3994.084049
89	3940.994141
90	3909.846356
91	3884.152993
92	3851.498017
93	3814.008923
94	3792.952571
95	3764.848619
96	3736.848093
97	3700.831149
98	3682.370491
99	3658.671912
100	3640.561293
101	3587.865214
102	3576.523926
103	3527.733914
104	3505.8976
105	3472.533028
106	3462.290625
107	3450.872514
108	3432.599052
109	3420.912404
110	3377.006197
111	3335.717481
112	3289.994463
113	3264.724495
114	3237.993388
115	3219.928797
116	3196.589825
117	3152.173545
118	3139.752777
119	3108.616712
120	3097.350046
121	3074.388376
122	3035.291349
123	3024.975583
124	3014.184652
125	2984.21934
126	2971.876134
127	2961.785246
128	2938.43593
129	2928.871341
130	2898.192507
131	2882.785362
132	2874.21259
133	2844.89089
134	2836.586958
135	2826.952394
136	2801.578928
137	2770.589828
138	2765.277593
139	2757.948357
140	2744.240464
141	2719.486465
142	2701.955143
143	2677.065184
144	2657.969049
145	2627.705602
146	2621.012343
147	2610.521255
148	2608.79227
149	2602.864182
150	2571.521414
151	2561.470605
152	2548.90914
153	2523.53992
154	2513.696559
155	2502.47199
156	2487.655495
157	2485.137906
158	2461.782019
159	2450.54485
160	2440.50309
161	2417.401714
162	2408.285024
163	2394.621283
164	2381.775927
165	2362.211354
166	2356.284006
167	2354.776829
168	2343.81475
169	2336.650305
170	2328.107918
171	2321.359858
172	2312.66202
173	2304.618211
174	2292.95487
175	2289.335981
176	2270.056393
177	2259.046703
178	2248.531929
179	2245.827015
180	2241.296107
181	2229.2501
182	2226.251494
183	2218.813542
184	2211.986404
185	2209.405565
186	2192.875277
187	2189.242301
188	2183.872512
189	2167.984466
190	2166.623169
191	2152.116317
192	2146.114111
193	2138.415908
194	2135.957819
195	2129.145831
196	2122.567496
197	2116.273965
198	2112.416446
199	2103.427863
200	2101.167381
201	2093.978129
202	2091.807966
203	2089.652171
204	2074.401153
205	2068.972307
206	2066.920129
207	2053.216931
208	2051.207719
209	2044.689059
210	2040.190377
211	2034.332031
212	2029.018104
213	2025.229366
214	2023.36784
215	2019.61917
216	2013.897863
217	2002.509668
218	1999.724034
219	1994.396032
220	1987.808691
221	1986.047956
222	1983.265116
223	1972.238408
224	1966.495078
225	1961.584415
226	1959.926264
227	1955.543235
228	1950.796461
229	1946.926061
230	1940.002008
231	1935.234083
232	1933.681698
233	1922.715474
234	1921.21238
235	1917.039088
236	1914.874351
237	1911.601309
238	1906.438084
239	1900.612977
240	1893.991838
241	1887.999879
242	1880.34534
243	1875.953622
244	1871.861243
245	1865.168504
246	1862.180428
247	1857.351108
248	1848.097953
249	1844.231064
250	1840.300903
251	1837.095417
252	1833.831218
253	1825.6967
254	1817.24703
255	1809.749859
256	1807.286245
257	1801.430134
258	1795.732912
259	1791.785145
260	1788.897442
261	1783.649003
262	1779.689793
263	1775.873112
264	1773.422485
265	1770.925501
266	1766.512726
267	1762.556196
268	1757.753145
269	1749.033564
270	1747.758411
271	1744.161463
272	1741.718184
273	1737.186349
274	1728.979943
275	1726.711026
276	1723.008006
277	1716.701089
278	1714.544977
279	1711.272981
280	1708.992858
281	1706.073228
282	1701.590604
283	1694.044557
284	1690.007524
285	1687.188935
286	1680.364962
287	1676.960383
288	1673.684606
289	1670.828463
290	1668.209256
291	1666.313441
292	1663.507144
293	1657.301559
294	1651.342223
295	1648.973777
296	1646.074625
297	1642.715684
298	1635.219825
299	1633.130846
300	1627.56001
301	1625.50053
302	1622.768154
303	1619.974143
304	1617.377824
305	1615.944153
306	1614.055239
307	1607.18827
308	1601.855962
309	1596.429912
310	1592.862413
311	1587.617474
312	1582.907504
313	1581.173513
314	1576.221891
315	1569.100075
316	1567.46078
317	1565.301066
318	1559.292486
319	1556.844002
320	1552.362738
321	1550.199427
322	1545.508082
323	1543.963555
324	1539.222192
325	1535.71345
326	1530.881191
327	1526.250261
328	1520.050414
329	1518.319363
330	1515.558227
331	1512.471468
332	1508.70798
333	1507.05106
334	1504.244518
335	1501.232246
336	1497.810264
337	1496.271524
338	1494.605077
339	1491.940224
340	1490.24507
341	1487.484486
342	1483.384968
343	1479.663501
344	1476.664799
345	1472.65591
346	1468.908597
347	1464.183577
348	1462.560537
349	1459.972051
350	1457.528672
351	1454.766203
352	1451.519083
353	1448.882839
354	1444.581111
355	1441.887064
356	1439.516039
357	1436.921737
358	1434.700992
359	1430.826505
360	1425.853777
361	1423.203653
362	1419.607348
363	1417.504471
364	1415.292977
365	1414.115472
366	1410.966371
367	1408.501743
368	1404.81125
369	1401.87612
370	1398.256467
371	1395.458417
372	1392.772916
373	1389.04552
374	1384.595367
375	1383.412381
376	1381.077632
377	1380.059075
378	1377.204705
379	1374.790509
380	1372.872536
381	1371.267722
382	1367.998283
383	1366.210575
384	1363.993857
385	1362.897045
386	1360.494931
387	1358.27747
388	1356.249975
389	1354.724253
390	1353.404539
391	1351.372985
392	1349.551269
393	1347.297856
394	1344.577061
395	1343.215736
396	1341.019199
397	1338.769159
398	1336.855756
399	1335.413148
400	1333.561281
401	1330.688666
402	1328.89994
403	1326.971907
404	1324.810999
405	1322.024755
406	1319.697862
407	1316.481616
408	1314.437148
409	1312.885657
410	1311.33469
411	1309.478872
412	1307.477562
413	1305.621256
414	1304.127853
415	1302.184376
416	1299.441368
417	1298.206021
418	1295.01489
419	1292.080326
420	1290.492118
