iter	Passed	Remaining
0	136	136002
1	138	68955
2	139	46473
3	141	35254
4	143	28475
5	144	23988
6	146	20779
7	148	18372
8	149	16492
9	151	15013
10	153	13796
11	154	12755
12	156	11915
13	158	11165
14	160	10519
15	161	9945
16	163	9446
17	165	9018
18	167	8627
19	168	8279
20	170	7964
21	172	7670
22	174	7403
23	176	7161
24	177	6933
25	179	6730
26	181	6543
27	183	6362
28	184	6189
29	186	6027
30	188	5879
31	189	5740
32	191	5611
33	192	5483
34	194	5365
35	196	5259
36	197	5152
37	199	5050
38	201	4953
39	202	4864
40	204	4782
41	206	4702
42	208	4629
43	209	4553
44	211	4485
45	212	4415
46	214	4351
47	216	4290
48	217	4228
49	219	4171
50	221	4117
51	223	4066
52	224	4019
53	226	3972
54	228	3925
55	230	3878
56	231	3834
57	233	3794
58	235	3752
59	236	3711
60	238	3672
61	240	3636
62	241	3598
63	243	3563
64	245	3529
65	247	3497
66	248	3464
67	250	3433
68	252	3405
69	254	3374
70	255	3347
71	257	3319
72	259	3294
73	261	3266
74	262	3238
75	264	3213
76	266	3191
77	267	3166
78	269	3140
79	271	3117
80	272	3094
81	274	3072
82	276	3052
83	277	3030
84	279	3008
85	281	2988
86	282	2967
87	284	2947
88	286	2928
89	287	2908
90	289	2888
91	290	2869
92	292	2852
93	294	2834
94	295	2817
95	297	2799
96	298	2781
97	300	2764
98	301	2745
99	303	2729
100	304	2712
101	306	2696
102	307	2681
103	309	2666
104	311	2651
105	312	2635
106	314	2620
107	315	2606
108	317	2592
109	318	2577
110	320	2564
111	321	2551
112	323	2538
113	324	2524
114	326	2511
115	327	2499
116	329	2488
117	331	2477
118	333	2465
119	334	2453
120	336	2442
121	337	2431
122	339	2420
123	340	2408
124	342	2397
125	344	2387
126	345	2377
127	347	2365
128	348	2355
129	350	2345
130	352	2335
131	353	2325
132	355	2316
133	356	2306
134	358	2296
135	360	2287
136	361	2279
137	363	2270
138	365	2261
139	366	2252
140	368	2243
141	369	2234
142	371	2225
143	372	2217
144	374	2208
145	376	2201
146	377	2191
147	379	2183
148	380	2174
149	382	2166
150	383	2158
151	385	2150
152	387	2142
153	388	2134
154	390	2126
155	391	2118
156	393	2111
157	394	2103
158	396	2096
159	397	2088
160	399	2081
161	400	2074
162	402	2066
163	404	2060
164	405	2054
165	407	2047
166	409	2040
167	410	2033
168	412	2026
169	413	2019
170	415	2013
171	416	2007
172	418	2000
173	419	1993
174	421	1987
175	422	1980
176	424	1973
177	425	1967
178	427	1960
179	428	1954
180	430	1947
181	432	1941
182	433	1936
183	435	1930
184	436	1924
185	438	1918
186	439	1912
187	441	1906
188	443	1901
189	444	1895
190	446	1889
191	447	1884
192	449	1879
193	450	1873
194	452	1867
195	454	1862
196	455	1856
197	456	1851
198	458	1845
199	460	1840
200	461	1834
201	463	1829
202	464	1823
203	466	1818
204	467	1813
205	469	1808
206	470	1803
207	472	1798
208	473	1793
209	475	1788
210	476	1783
211	478	1778
212	480	1773
213	481	1769
214	483	1764
215	484	1758
216	486	1753
217	487	1749
218	489	1744
219	490	1740
220	492	1735
221	494	1731
222	495	1726
223	497	1722
224	498	1717
225	500	1713
226	501	1708
227	503	1704
228	504	1699
229	506	1694
230	507	1690
231	509	1686
232	510	1681
233	512	1677
234	513	1673
235	515	1668
236	516	1664
237	518	1659
238	520	1655
239	521	1651
